Id,PAXCOUNT,SALESCHANNEL,TRIPTYPEDESC,PURCHASELEAD,LENGTHOFSTAY,flight_hour,flight_day,ROUTE,geoNetwork_country,BAGGAGE_CATEGORY,SEAT_CATEGORY,FNB_CATEGORY,INS_FLAG,flightDuration_hour
1,2,Internet,RoundTrip,262,19,7,Sat,AKLDEL,New Zealand,1,0,0,0,5.52
2,1,Internet,RoundTrip,112,20,3,Sat,AKLDEL,New Zealand,0,0,0,0,5.52
3,2,Internet,RoundTrip,243,22,17,Wed,AKLDEL,India,1,1,0,0,5.52
4,1,Internet,RoundTrip,96,31,4,Sat,AKLDEL,New Zealand,0,0,1,0,5.52
5,2,Internet,RoundTrip,68,22,15,Wed,AKLDEL,India,1,0,1,0,5.52
6,1,Internet,RoundTrip,3,48,20,Thu,AKLDEL,New Zealand,1,0,1,0,5.52
7,3,Internet,RoundTrip,201,33,6,Thu,AKLDEL,New Zealand,1,0,1,0,5.52
8,2,Internet,RoundTrip,238,19,14,Mon,AKLDEL,India,1,0,1,0,5.52
9,1,Internet,RoundTrip,80,22,4,Mon,AKLDEL,New Zealand,0,0,1,0,5.52
10,1,Mobile,RoundTrip,378,30,12,Sun,AKLDEL,India,0,0,0,0,5.52
11,2,Internet,RoundTrip,185,25,14,Tue,AKLDEL,United Kingdom,1,1,1,0,5.52
12,1,Internet,RoundTrip,8,43,2,Sat,AKLDEL,New Zealand,1,1,1,0,5.52
13,4,Internet,RoundTrip,265,24,19,Mon,AKLDEL,New Zealand,1,0,1,0,5.52
14,1,Internet,RoundTrip,185,17,14,Fri,AKLDEL,India,0,0,0,0,5.52
15,1,Internet,RoundTrip,245,34,4,Tue,AKLDEL,New Zealand,1,1,1,0,5.52
16,1,Internet,RoundTrip,192,18,14,Thu,AKLDEL,India,1,0,0,0,5.52
17,1,Internet,RoundTrip,259,37,6,Sun,AKLDEL,India,0,0,0,0,5.52
18,1,Internet,RoundTrip,19,29,10,Sat,AKLDEL,New Zealand,0,0,1,0,5.52
19,1,Internet,RoundTrip,67,155,8,Sun,AKLDEL,New Zealand,1,0,0,0,5.52
20,1,Internet,RoundTrip,351,17,3,Sun,AKLHGH,China,0,0,0,0,5.07
21,2,Internet,CircleTrip,228,29,23,Wed,AKLHND,New Zealand,1,0,0,0,7.57
22,1,Internet,RoundTrip,21,88,9,Wed,AKLICN,South Korea,1,0,1,0,6.62
23,2,Internet,RoundTrip,23,19,8,Mon,AKLICN,New Zealand,1,0,1,0,6.62
24,2,Internet,RoundTrip,25,27,13,Fri,AKLICN,South Korea,1,0,1,0,6.62
25,1,Internet,RoundTrip,16,21,6,Thu,AKLICN,New Zealand,1,0,1,0,6.62
26,1,Internet,RoundTrip,66,20,7,Thu,AKLICN,South Korea,1,0,0,0,6.62
27,1,Internet,RoundTrip,51,28,6,Fri,AKLICN,South Korea,0,0,0,0,6.62
28,2,Internet,RoundTrip,37,24,7,Mon,AKLICN,New Zealand,1,0,0,0,6.62
29,1,Internet,RoundTrip,101,19,11,Tue,AKLICN,South Korea,1,0,1,0,6.62
30,1,Internet,RoundTrip,19,47,2,Tue,AKLICN,New Zealand,1,0,1,0,6.62
31,1,Internet,RoundTrip,16,35,23,Wed,AKLICN,New Zealand,1,1,0,0,6.62
32,2,Internet,RoundTrip,7,82,4,Thu,AKLICN,South Korea,1,0,1,0,6.62
33,1,Internet,RoundTrip,5,27,0,Fri,AKLICN,New Zealand,0,0,1,0,6.62
34,1,Internet,RoundTrip,185,34,4,Mon,AKLICN,New Zealand,1,0,1,0,6.62
35,1,Internet,RoundTrip,21,22,7,Fri,AKLICN,New Zealand,1,1,0,0,6.62
36,1,Internet,RoundTrip,7,27,4,Wed,AKLICN,New Zealand,0,0,1,0,6.62
37,1,Internet,RoundTrip,33,22,14,Sat,AKLICN,South Korea,1,0,0,0,6.62
38,6,Internet,RoundTrip,20,22,3,Fri,AKLICN,South Korea,1,1,1,0,6.62
39,2,Internet,RoundTrip,56,21,7,Thu,AKLICN,New Zealand,1,0,0,0,6.62
40,1,Internet,RoundTrip,3,33,1,Mon,AKLICN,South Korea,1,0,1,0,6.62
41,1,Internet,RoundTrip,13,26,7,Mon,AKLICN,South Korea,1,0,0,0,6.62
42,1,Internet,RoundTrip,71,90,7,Thu,AKLICN,South Korea,1,1,1,0,6.62
43,2,Internet,RoundTrip,346,23,8,Mon,AKLICN,South Korea,1,0,1,0,6.62
44,1,Internet,RoundTrip,9,84,7,Wed,AKLICN,New Zealand,1,0,0,0,6.62
45,1,Internet,RoundTrip,65,22,14,Thu,AKLICN,South Korea,1,0,0,0,6.62
46,1,Mobile,RoundTrip,221,61,2,Sun,AKLICN,New Zealand,0,0,0,0,6.62
47,1,Internet,RoundTrip,65,18,14,Wed,AKLICN,South Korea,0,0,1,0,6.62
48,2,Internet,RoundTrip,7,40,7,Wed,AKLICN,South Korea,1,0,1,0,6.62
49,1,Internet,RoundTrip,107,24,14,Fri,AKLICN,South Korea,0,1,0,0,6.62
50,1,Internet,RoundTrip,14,27,10,Wed,AKLICN,New Zealand,0,0,0,0,6.62
51,1,Internet,RoundTrip,77,96,9,Tue,AKLICN,New Zealand,1,0,1,0,6.62
52,1,Internet,RoundTrip,65,17,9,Wed,AKLICN,New Zealand,1,0,0,0,6.62
53,1,Internet,RoundTrip,24,25,8,Thu,AKLICN,South Korea,1,0,1,0,6.62
54,1,Internet,RoundTrip,47,69,2,Wed,AKLICN,South Korea,1,1,1,0,6.62
55,1,Internet,RoundTrip,22,89,14,Tue,AKLICN,South Korea,1,0,1,0,6.62
56,2,Internet,RoundTrip,11,25,4,Thu,AKLICN,South Korea,1,0,1,0,6.62
57,1,Internet,RoundTrip,35,25,6,Tue,AKLICN,South Korea,0,0,1,0,6.62
58,1,Internet,RoundTrip,272,21,14,Tue,AKLICN,New Zealand,1,0,0,0,6.62
59,1,Internet,RoundTrip,20,18,10,Mon,AKLICN,New Zealand,0,0,0,0,6.62
60,1,Internet,RoundTrip,250,23,9,Sun,AKLICN,South Korea,1,0,1,0,6.62
61,1,Internet,RoundTrip,161,58,2,Sat,AKLICN,South Korea,1,0,1,0,6.62
62,4,Internet,RoundTrip,128,21,9,Mon,AKLICN,New Zealand,1,1,0,0,6.62
63,1,Internet,RoundTrip,190,27,14,Sun,AKLICN,South Korea,1,0,1,0,6.62
64,4,Internet,RoundTrip,311,27,6,Sat,AKLICN,New Zealand,0,1,0,0,6.62
65,1,Internet,RoundTrip,27,56,7,Fri,AKLICN,South Korea,1,0,1,0,6.62
66,2,Internet,RoundTrip,314,43,10,Sun,AKLICN,New Zealand,0,0,0,0,6.62
67,1,Internet,RoundTrip,25,29,11,Wed,AKLICN,South Korea,1,0,1,0,6.62
68,1,Internet,RoundTrip,102,110,6,Tue,AKLICN,South Korea,1,0,0,0,6.62
69,1,Internet,RoundTrip,24,19,8,Mon,AKLICN,South Korea,1,0,1,0,6.62
70,1,Internet,RoundTrip,2,165,3,Mon,AKLKIX,Japan,1,0,0,0,7
71,1,Internet,RoundTrip,26,111,13,Mon,AKLKIX,Japan,1,0,1,0,7
72,1,Internet,RoundTrip,32,34,23,Sun,AKLKIX,New Zealand,0,0,0,0,7
73,2,Internet,RoundTrip,57,38,5,Sun,AKLKIX,New Zealand,1,0,0,0,7
74,1,Internet,RoundTrip,198,207,10,Sun,AKLKIX,Japan,1,0,1,0,7
75,1,Internet,RoundTrip,23,27,11,Sat,AKLKIX,Japan,0,0,0,0,7
76,1,Internet,RoundTrip,33,20,6,Fri,AKLKTM,New Zealand,1,0,0,0,4.75
77,2,Internet,RoundTrip,120,91,3,Mon,AKLKTM,New Zealand,1,0,1,0,4.75
78,2,Internet,RoundTrip,69,34,4,Thu,AKLKTM,New Zealand,1,0,0,0,4.75
79,1,Mobile,CircleTrip,281,18,3,Wed,AKLKTM,New Zealand,1,0,0,0,4.75
80,1,Internet,CircleTrip,282,18,19,Tue,AKLKTM,New Zealand,1,0,0,0,4.75
81,1,Internet,RoundTrip,69,21,3,Wed,AKLKTM,New Zealand,1,0,0,0,4.75
82,1,Internet,OneWay,67,1,10,Tue,AKLKTM,New Zealand,1,0,0,0,4.75
83,1,Internet,RoundTrip,15,31,17,Mon,AKLKUL,Malaysia,0,0,0,1,8.83
84,1,Internet,RoundTrip,31,274,10,Tue,AKLKUL,Malaysia,1,0,0,0,8.83
85,1,Internet,RoundTrip,316,35,16,Tue,AKLKUL,Malaysia,1,0,0,0,8.83
86,2,Internet,RoundTrip,232,17,3,Tue,AKLKUL,Malaysia,1,1,1,0,8.83
87,1,Internet,RoundTrip,156,19,14,Mon,AKLKUL,Malaysia,1,0,0,1,8.83
88,1,Internet,RoundTrip,196,44,23,Tue,AKLKUL,New Zealand,1,0,0,0,8.83
89,1,Internet,RoundTrip,283,38,9,Mon,AKLKUL,New Zealand,1,0,0,0,8.83
90,1,Internet,RoundTrip,34,24,5,Fri,AKLKUL,New Zealand,1,0,0,0,8.83
91,1,Mobile,RoundTrip,63,57,8,Mon,AKLKUL,New Zealand,0,0,0,0,8.83
92,1,Internet,RoundTrip,5,18,4,Tue,AKLKUL,New Zealand,0,0,0,0,8.83
93,1,Internet,RoundTrip,6,106,19,Tue,AKLKUL,Malaysia,0,0,0,0,8.83
94,1,Internet,RoundTrip,227,68,2,Fri,AKLKUL,Malaysia,1,1,0,0,8.83
95,1,Internet,RoundTrip,181,87,2,Tue,AKLKUL,Singapore,1,0,1,1,8.83
96,1,Internet,RoundTrip,8,33,3,Tue,AKLKUL,New Zealand,0,0,0,0,8.83
97,2,Internet,RoundTrip,138,35,19,Fri,AKLKUL,Switzerland,1,0,1,0,8.83
98,1,Internet,RoundTrip,134,37,20,Wed,AKLKUL,New Zealand,0,1,0,0,8.83
99,2,Internet,RoundTrip,8,29,18,Thu,AKLKUL,New Zealand,1,0,0,0,8.83
100,1,Internet,RoundTrip,23,51,13,Fri,AKLKUL,New Zealand,1,0,1,0,8.83
101,1,Mobile,RoundTrip,57,21,1,Sun,AKLKUL,Malaysia,1,1,1,0,8.83
102,2,Internet,RoundTrip,85,19,0,Mon,AKLKUL,New Zealand,1,1,0,0,8.83
103,1,Internet,RoundTrip,65,31,23,Sun,AKLKUL,New Zealand,0,0,0,0,8.83
104,1,Internet,OneWay,27,1,13,Tue,AKLKUL,New Zealand,1,1,0,0,8.83
105,1,Internet,RoundTrip,93,196,8,Tue,AKLKUL,Germany,1,0,0,0,8.83
106,1,Mobile,RoundTrip,16,77,8,Mon,AKLKUL,New Zealand,0,0,1,0,8.83
107,2,Internet,RoundTrip,118,17,8,Tue,AKLKUL,New Zealand,1,0,1,0,8.83
108,2,Internet,RoundTrip,90,20,7,Thu,AKLKUL,Malaysia,0,0,1,0,8.83
109,1,Internet,RoundTrip,168,41,23,Mon,AKLKUL,New Zealand,1,0,1,0,8.83
110,1,Mobile,RoundTrip,127,17,16,Tue,AKLKUL,Malaysia,1,0,1,1,8.83
111,2,Mobile,RoundTrip,18,17,6,Mon,AKLKUL,New Zealand,1,1,1,0,8.83
112,1,Internet,RoundTrip,153,30,10,Tue,AKLKUL,New Zealand,1,1,0,0,8.83
113,1,Internet,RoundTrip,51,21,9,Sat,AKLKUL,Malaysia,1,0,1,0,8.83
114,2,Internet,RoundTrip,186,27,2,Tue,AKLKUL,New Zealand,1,1,1,0,8.83
115,1,Internet,RoundTrip,5,87,5,Tue,AKLKUL,Malaysia,1,0,0,0,8.83
116,1,Internet,RoundTrip,65,278,2,Thu,AKLKUL,Malaysia,0,0,0,0,8.83
117,1,Internet,RoundTrip,2,18,6,Thu,AKLKUL,New Zealand,1,1,0,0,8.83
118,1,Internet,RoundTrip,263,58,4,Sun,AKLKUL,Malaysia,0,1,0,0,8.83
119,6,Internet,RoundTrip,172,28,0,Sat,AKLKUL,New Zealand,0,0,1,0,8.83
120,1,Internet,RoundTrip,161,108,2,Thu,AKLKUL,New Zealand,1,1,0,0,8.83
121,4,Internet,RoundTrip,230,29,17,Mon,AKLKUL,Malaysia,1,0,1,0,8.83
122,1,Internet,RoundTrip,7,21,0,Mon,AKLKUL,Indonesia,0,0,0,0,8.83
123,1,Internet,RoundTrip,42,17,14,Tue,AKLKUL,Malaysia,0,0,0,1,8.83
124,1,Internet,RoundTrip,71,29,10,Fri,AKLKUL,New Zealand,1,0,0,0,8.83
125,1,Internet,RoundTrip,22,180,13,Thu,AKLKUL,Malaysia,1,0,0,1,8.83
126,1,Internet,RoundTrip,81,21,4,Fri,AKLKUL,New Zealand,1,0,0,0,8.83
127,2,Internet,RoundTrip,140,18,7,Sun,AKLKUL,China,1,0,0,0,8.83
128,1,Mobile,RoundTrip,42,72,14,Sat,AKLKUL,New Zealand,0,0,1,0,8.83
129,1,Internet,RoundTrip,168,32,2,Tue,AKLKUL,New Zealand,1,1,0,0,8.83
130,1,Internet,RoundTrip,285,30,12,Wed,AKLKUL,Czech Republic,1,1,1,0,8.83
131,2,Internet,RoundTrip,179,18,11,Thu,AKLKUL,Malaysia,1,0,1,0,8.83
132,2,Internet,RoundTrip,341,21,10,Sat,AKLKUL,New Zealand,1,0,0,0,8.83
133,2,Internet,RoundTrip,96,51,3,Thu,AKLKUL,New Zealand,1,0,1,0,8.83
134,4,Internet,RoundTrip,173,17,1,Thu,AKLKUL,New Zealand,1,0,1,0,8.83
135,1,Internet,RoundTrip,180,24,9,Wed,AKLKUL,New Zealand,0,1,1,0,8.83
136,4,Internet,RoundTrip,366,17,16,Sun,AKLKUL,Malaysia,1,0,1,0,8.83
137,3,Internet,RoundTrip,229,17,13,Mon,AKLKUL,Malaysia,1,1,1,1,8.83
138,2,Internet,RoundTrip,174,61,11,Tue,AKLKUL,Malaysia,1,0,1,0,8.83
139,2,Internet,RoundTrip,82,25,18,Fri,AKLKUL,Czech Republic,1,0,0,0,8.83
140,1,Internet,RoundTrip,75,62,6,Mon,AKLKUL,Malaysia,0,0,0,0,8.83
141,2,Internet,RoundTrip,163,21,10,Mon,AKLKUL,New Zealand,1,0,0,0,8.83
142,1,Internet,RoundTrip,105,21,8,Fri,AKLKUL,New Zealand,1,0,0,0,8.83
143,2,Internet,RoundTrip,276,45,6,Mon,AKLKUL,New Zealand,1,0,1,0,8.83
144,1,Internet,RoundTrip,35,31,3,Thu,AKLKUL,New Zealand,1,0,0,0,8.83
145,1,Internet,RoundTrip,110,26,23,Wed,AKLKUL,New Zealand,1,0,0,0,8.83
146,1,Internet,RoundTrip,83,44,3,Sat,AKLKUL,Malaysia,1,0,0,0,8.83
